/red/mavros/global_position/local/pose/pose/position/x_x,/red/mavros/global_position/local/pose/pose/position/x_y,/red/mavros/global_position/local/pose/pose/position/y_x,/red/mavros/global_position/local/pose/pose/position/y_y,/red/mavros/global_position/local/pose/pose/position/z_x,/red/mavros/global_position/local/pose/pose/position/z_y
639.9960000000,5.9897546344,640.0200000000,6.0361028256,640.0200000000,1.804
640.0200000000,5.9897546344,640.0410000000,6.0361028256,640.0410000000,1.802
640.0410000000,5.9897546344,640.0590000000,6.0361028256,640.0590000000,1.8
640.0590000000,5.9897546344,640.078,6.0361028165,640.078,1.797
640.078,5.9897546253,640.097,6.0361028165,640.097,1.794
640.097,5.9897546253,640.1180000000,6.0361028165,640.1180000000,1.791
640.1180000000,5.9897546253,640.1380000000,6.0361028067,640.1380000000,1.787
640.1380000000,5.9897546155,640.1580000000,6.0361028067,640.1580000000,1.783
640.1580000000,5.9897546155,640.1830000000,6.0361027969,640.1830000000,1.778
640.1830000000,5.9897546067,640.212,6.0361027969,640.212,1.773
640.212,5.9897546067,640.2450000000,6.0361027873,640.2450000000,1.769
640.2450000000,5.9897545970,640.2610000000,6.0361027873,640.2610000000,1.763
640.2610000000,5.9897545970,640.276,6.0361027782,640.276,1.758
640.276,5.9897545879,640.2790000000,6.0361027782,640.2790000000,1.753
640.2790000000,5.9897545879,640.31,6.0361027684,640.31,1.747
640.31,5.9897545781,640.3180000000,6.0361027684,640.3180000000,1.742
640.3180000000,5.9897545781,640.337,6.0361027593,640.337,1.737
640.337,5.989754569,640.357,6.0361027593,640.357,1.731
640.357,5.989754569,640.375,6.0361027497,640.375,1.726
640.375,5.9897545593,640.3980000000,6.0361027497,640.3980000000,1.72
640.3980000000,5.9897545593,640.435,6.03610274,640.435,1.715
640.435,5.9897545501,640.4380000000,6.03610274,640.4380000000,1.71
640.4380000000,5.9897545501,640.4790000000,6.0361027306,640.4790000000,1.706
640.4790000000,5.9897545408,640.4940000000,6.0361027306,640.4940000000,1.701
640.4940000000,5.9897545408,640.5030000000,6.0361027209,640.5030000000,1.697
640.5030000000,5.9897545316,640.517,6.0361027209,640.517,1.693
640.517,5.9897545316,640.5380000000,6.0361027209,640.5380000000,1.69
640.5380000000,5.9897545316,640.5590000000,6.0361027113,640.5590000000,1.687
640.5590000000,5.9897545219,640.5840000000,6.0361027113,640.5840000000,1.684
640.5840000000,5.9897545219,640.598,6.0361027113,640.598,1.682
640.598,5.9897545219,640.6180000000,6.0361027113,640.6180000000,1.68
640.6180000000,5.9897545219,640.6370000000,6.0361027022,640.6370000000,1.678
640.6370000000,5.9897545128,640.6560000000,6.0361027022,640.6560000000,1.677
640.6560000000,5.9897545128,640.678,6.0361027022,640.678,1.676
640.678,5.9897545128,640.6990000000,6.0361027022,640.6990000000,1.675
640.6990000000,5.9897545128,640.7160000000,6.0361027022,640.7160000000,1.675
640.7160000000,5.9897545128,640.7370000000,6.0361027022,640.7370000000,1.675
640.7370000000,5.9897545128,640.7600000000,6.0361027022,640.7600000000,1.676
640.7600000000,5.9897545128,640.7790000000,6.0361027022,640.7790000000,1.677
640.7790000000,5.9897545128,640.7970000000,6.0361027022,640.7970000000,1.678
640.7970000000,5.9897545128,640.8160000000,6.0361027113,640.8160000000,1.68
640.8160000000,5.9897545219,640.837,6.0250069307,640.837,1.682
640.837,5.9897545144,640.8600000000,6.0250069307,640.8600000000,1.685
640.8600000000,5.9897545144,640.8770000000,6.0250069307,640.8770000000,1.688
640.8770000000,5.9897545144,640.8970000000,6.0250069402,640.8970000000,1.691
640.8970000000,5.9897545240,640.918,6.0250069402,640.918,1.695
640.918,5.9897545240,640.9390000000,6.0250069402,640.9390000000,1.698
640.9390000000,5.9897545240,640.9570000000,6.0250069496,640.9570000000,1.702
640.9570000000,5.9897545332,640.98,6.0250069496,640.98,1.707
640.98,5.9897545332,641.0140000000,6.0250069591,641.0140000000,1.711
641.0140000000,5.9897545429,641.052,6.0250069591,641.052,1.715
641.052,5.9897545429,641.0850000000,6.0250069683,641.0850000000,1.72
641.0850000000,5.9897545521,641.1020000000,6.0250069683,641.1020000000,1.724
641.1020000000,5.9897545521,641.1100000000,6.0250069683,641.1100000000,1.729
641.1100000000,5.9897545521,641.1130000000,6.0250069784,641.1130000000,1.733
641.1130000000,5.9897545618,641.1190000000,6.0250069784,641.1190000000,1.737
641.1190000000,5.9897545618,641.1470000000,6.0250069879,641.1470000000,1.741
641.1470000000,5.9897545706,641.1670000000,6.0250069879,641.1670000000,1.746
641.1670000000,5.9897545706,641.1880000000,6.0250069879,641.1880000000,1.749
641.1880000000,5.9897545706,641.2170000000,6.0250069975,641.2170000000,1.753
641.2170000000,5.9897545803,641.2280000000,6.0250069975,641.2280000000,1.756
641.2280000000,5.9897545803,641.241,6.0250069975,641.241,1.759
641.241,5.9897545803,641.257,6.0250070066,641.257,1.762
641.257,5.9897545895,641.2800000000,6.0361027873,641.2800000000,1.764
641.2800000000,5.9897545970,641.2970000000,6.0361027873,641.2970000000,1.766
641.2970000000,5.9897545970,641.3180000000,6.0361027873,641.3180000000,1.768
641.3180000000,5.9897545970,641.337,6.0361027873,641.337,1.769
641.337,5.9897545970,641.356,6.0361027969,641.356,1.77
641.356,5.9897546067,641.374,6.0361027969,641.374,1.771
641.374,5.9897546067,641.3990000000,6.0361027969,641.3990000000,1.771
641.3990000000,5.9897546067,641.418,6.0361027969,641.418,1.771
641.418,5.9897546067,641.4380000000,6.0361027969,641.4380000000,1.77
641.4380000000,5.9897546067,641.4580000000,6.0361027873,641.4580000000,1.769
641.4580000000,5.9897545970,641.4780000000,6.0361027873,641.4780000000,1.768
641.4780000000,5.9897545970,641.498,6.0361027873,641.498,1.766
641.498,5.9897545970,641.5190000000,6.0361027873,641.5190000000,1.764
641.5190000000,5.9897545970,641.5370000000,6.0361027873,641.5370000000,1.762
641.5370000000,5.9897545970,641.57,6.0361027782,641.57,1.759
641.57,5.9897545879,641.579,6.0361027782,641.579,1.756
641.579,5.9897545879,641.5930000000,6.0361027782,641.5930000000,1.752
641.5930000000,5.9897545879,641.6170000000,6.0361027684,641.6170000000,1.748
641.6170000000,5.9897545781,641.6380000000,6.0361027684,641.6380000000,1.744
641.6380000000,5.9897545781,641.6620000000,6.0361027684,641.6620000000,1.74
641.6620000000,5.9897545781,641.6830000000,6.0361027593,641.6830000000,1.736
641.6830000000,5.989754569,641.6980000000,6.0361027593,641.6980000000,1.731
641.6980000000,5.989754569,641.7180000000,6.0361027497,641.7180000000,1.727
641.7180000000,5.9897545593,641.7420000000,6.0361027497,641.7420000000,1.722
641.7420000000,5.9897545593,641.757,6.03610274,641.757,1.717
641.757,5.9897545501,641.777,6.03610274,641.777,1.712
641.777,5.9897545501,641.7980000000,6.0361027306,641.7980000000,1.708
641.7980000000,5.9897545408,641.8180000000,6.0361027306,641.8180000000,1.703
641.8180000000,5.9897545408,641.8440000000,6.0361027209,641.8440000000,1.698
641.8440000000,5.9897545316,641.864,6.0361027209,641.864,1.694
641.864,5.9897545316,641.8780000000,6.0361027209,641.8780000000,1.69
641.8780000000,5.9897545316,641.8990000000,6.0361027113,641.8990000000,1.686
641.8990000000,5.9897545219,641.9220000000,6.0361027113,641.9220000000,1.682
641.9220000000,5.9897545219,641.9410000000,6.0361027022,641.9410000000,1.679
641.9410000000,5.9897545128,641.9590000000,6.0361027022,641.9590000000,1.676
641.9590000000,5.9897545128,641.982,6.0361027022,641.982,1.673
641.982,5.9897545128,641.998,6.0361027022,641.998,1.67
641.998,5.9897545128,642.017,6.0361026929,642.017,1.668
642.017,5.9897545035,642.0380000000,6.0361026929,642.0380000000,1.666
642.0380000000,5.9897545035,642.0580000000,6.0361026929,642.0580000000,1.664
642.0580000000,5.9897545035,642.078,6.0361026929,642.078,1.663
642.078,5.9897545035,642.098,6.0361026929,642.098,1.662
642.098,5.9897545035,642.1180000000,6.0361026929,642.1180000000,1.661
642.1180000000,5.9897545035,642.1280000000,6.0361026929,642.1280000000,1.661
642.1280000000,5.9897545035,642.1580000000,6.0361026929,642.1580000000,1.661
642.1580000000,5.9897545035,642.177,6.0361026929,642.177,1.662
642.177,5.9897545035,642.2000000000,6.0361026929,642.2000000000,1.662
642.2000000000,5.9897545035,642.2180000000,6.0361026929,642.2180000000,1.663
642.2180000000,5.9897545035,642.2380000000,6.0361026929,642.2380000000,1.665
642.2380000000,5.9897545035,642.2600000000,6.0361026929,642.2600000000,1.666
642.2600000000,5.9897545035,642.277,6.0361026929,642.277,1.668
642.277,5.9897545035,642.3010000000,6.0361026929,642.3010000000,1.669
642.3010000000,5.9897545035,642.319,6.0361027022,642.319,1.671
642.319,5.9897545128,642.338,6.0361027022,642.338,1.673
642.338,5.9897545128,642.357,6.0361027022,642.357,1.675
642.357,5.9897545128,642.3860000000,6.0361027022,642.3860000000,1.676
642.3860000000,5.9897545128,642.402,6.0361027022,642.402,1.678
642.402,5.9897545128,642.4170000000,6.0361027113,642.4170000000,1.68
642.4170000000,5.9897545219,642.437,6.0361027113,642.437,1.682
642.437,5.9897545219,642.4600000000,6.0361027113,642.4600000000,1.683
642.4600000000,5.9897545219,642.4830000000,6.0361027113,642.4830000000,1.684
642.4830000000,5.9897545219,642.4970000000,6.0361027113,642.4970000000,1.685
642.4970000000,5.9897545219,642.517,6.0361027113,642.517,1.686
642.517,5.9897545219,642.5380000000,6.0361027113,642.5380000000,1.686
642.5380000000,5.9897545219,642.5730000000,6.0361027113,642.5730000000,1.686
642.5730000000,5.9897545219,642.578,6.0361027113,642.578,1.686
642.578,5.9897545219,642.598,6.0361027113,642.598,1.685
642.598,5.9897545219,642.6180000000,6.0361027113,642.6180000000,1.684
642.6180000000,5.9897545219,642.6370000000,6.0361027113,642.6370000000,1.682
642.6370000000,5.9897545219,642.6580000000,6.0361027113,642.6580000000,1.68
642.6580000000,5.9897545219,642.677,6.0361027022,642.677,1.678
642.677,5.9897545128,642.6980000000,6.0361027022,642.6980000000,1.676
642.6980000000,5.9897545128,642.7110000000,6.0361027022,642.7110000000,1.673
642.7110000000,5.9897545128,642.7380000000,6.0361027022,642.7380000000,1.67
642.7380000000,5.9897545128,642.758,6.0361026929,642.758,1.666
642.758,5.9897545035,642.7780000000,6.0361026929,642.7780000000,1.662
642.7780000000,5.9897545035,642.7980000000,6.0361026833,642.7980000000,1.658
642.7980000000,5.9897544939,642.8180000000,6.0361026833,642.8180000000,1.653
642.8180000000,5.9897544939,642.838,6.0361026681,642.838,1.649
642.838,5.9988436413,642.8580000000,6.0361026681,642.8580000000,1.644
642.8580000000,5.9988436413,642.8800000000,6.0361026585,642.8800000000,1.638
642.8800000000,5.9988436316,642.9,6.0361026640,642.9,1.633
642.9,5.989754475,642.918,6.0361026549,642.918,1.628
642.918,5.9897544661,642.937,6.0361026549,642.937,1.622
642.937,5.9897544661,642.9570000000,6.0361026392,642.9570000000,1.617
642.9570000000,5.9988436127,642.9780000000,6.0361026392,642.9780000000,1.611
642.9780000000,5.9988436127,642.998,6.0361026298,642.998,1.605
642.998,5.9988436035,643.0190000000,6.0361026298,643.0190000000,1.6
643.0190000000,5.9988436035,643.0370000000,6.0361026203,643.0370000000,1.594
643.0370000000,5.9988435938,643.0580000000,6.0361026107,643.0580000000,1.589
643.0580000000,5.9988435842,643.0770000000,6.0361026107,643.0770000000,1.584
643.0770000000,5.9988435842,643.1040000000,6.0361026107,643.1040000000,1.58
643.1040000000,5.9988435842,643.132,6.0361026071,643.132,1.578
643.132,5.9897544187,643.1390000000,6.0361026071,643.1390000000,1.579
643.1390000000,5.9897544187,643.1730000000,6.0361026169,643.1730000000,1.579
643.1730000000,5.9897544284,643.194,6.0361026169,643.194,1.58
643.194,5.9897544284,643.2270000000,6.0361026071,643.2270000000,1.579
643.2270000000,5.9897544187,643.2530000000,6.0361026071,643.2530000000,1.578
643.2530000000,5.9897544187,643.268,6.0361026071,643.268,1.578
643.268,5.9897544187,643.2820000000,6.0361026071,643.2820000000,1.578
643.2820000000,5.9897544187,643.294,6.0361026071,643.294,1.578
643.294,5.9897544187,643.311,6.0361026071,643.311,1.578
643.311,5.9897544187,643.3250000000,6.0361026071,643.3250000000,1.578
643.3250000000,5.9897544187,643.338,6.0361026071,643.338,1.578
643.338,5.9897544187,643.3580000000,6.0361026071,643.3580000000,1.577
643.3580000000,5.9897544187,643.3770000000,6.0361026071,643.3770000000,1.577
643.3770000000,5.9897544187,643.3970000000,6.0361026071,643.3970000000,1.577
643.3970000000,5.9897544187,643.4160000000,6.0361026071,643.4160000000,1.577
643.4160000000,5.9897544187,643.435,6.0361026071,643.435,1.578
643.435,5.9897544187,643.4600000000,6.0361026071,643.4600000000,1.578
643.4600000000,5.9897544187,643.4700000000,6.0361026169,643.4700000000,1.58
643.4700000000,5.9897544284,643.499,6.0361026169,643.499,1.582
643.499,5.9897544284,643.5210000000,6.0361026169,643.5210000000,1.584
643.5210000000,5.9897544284,643.5370000000,6.0361026169,643.5370000000,1.586
643.5370000000,5.9897544284,643.5570000000,6.0361026169,643.5570000000,1.588
643.5570000000,5.9897544284,643.578,6.0361026266,643.578,1.591
643.578,5.9897544377,643.597,6.0361026266,643.597,1.594
643.597,5.9897544377,643.6170000000,6.0361026266,643.6170000000,1.596
643.6170000000,5.9897544377,643.6370000000,6.0361026266,643.6370000000,1.599
643.6370000000,5.9897544377,643.6580000000,6.0361026362,643.6580000000,1.602
643.6580000000,5.9897544473,643.678,6.0361026362,643.678,1.604
643.678,5.9897544473,643.6980000000,6.0361026362,643.6980000000,1.607
643.6980000000,5.9897544473,643.7190000000,6.0361026453,643.7190000000,1.61
643.7190000000,5.9897544565,643.7380000000,6.0361026453,643.7380000000,1.613
643.7380000000,5.9897544565,643.7460000000,6.0361026453,643.7460000000,1.615
643.7460000000,5.9897544565,643.777,6.0361026453,643.777,1.618
643.777,5.9897544565,643.8000000000,6.0361026549,643.8000000000,1.62
643.8000000000,5.9897544661,643.821,6.0361026549,643.821,1.622
643.821,5.9897544661,643.8360000000,6.0361026549,643.8360000000,1.624
643.8360000000,5.9897544661,643.857,6.0361026549,643.857,1.625
643.857,5.9897544661,643.8770000000,6.0361026549,643.8770000000,1.626
643.8770000000,5.9897544661,643.8970000000,6.0361026549,643.8970000000,1.627
643.8970000000,5.9897544661,643.918,6.0361026549,643.918,1.628
643.918,5.9897544661,643.9400000000,6.0361026549,643.9400000000,1.628
643.9400000000,5.9897544661,643.9570000000,6.0361026549,643.9570000000,1.627
643.9570000000,5.9897544661,643.9770000000,6.0361026549,643.9770000000,1.627
643.9770000000,5.9897544661,643.9960000000,6.0361026549,643.9960000000,1.626
643.9960000000,5.9897544661,644.017,6.0361026549,644.017,1.624
644.017,5.9897544661,644.0380000000,6.0361026549,644.0380000000,1.623
644.0380000000,5.9897544661,644.0590000000,6.0361026549,644.0590000000,1.621
644.0590000000,5.9897544661,644.08,6.0361026453,644.08,1.619
644.08,5.9897544565,644.098,6.0361026453,644.098,1.616
644.098,5.9897544565,644.1180000000,6.0361026453,644.1180000000,1.613
644.1180000000,5.9897544565,644.1380000000,6.0361026362,644.1380000000,1.609
644.1380000000,5.9897544473,644.159,6.0361026362,644.159,1.605
644.159,5.9897544473,644.177,6.0361026362,644.177,1.601
644.177,5.9897544473,644.1970000000,6.0361026266,644.1970000000,1.596
